Name,Lv. 1,Lv. 2,Lv. 3,Lv. 4,Lv. 5,Lv. 6,Lv. 7,Lv. 8,Lv. 9,Lv. 10,Lv. 11
1-Hit DMG,31.7%,34.3%,36.9%,40.6%,43.2%,46.1%,50.2%,54.2%,58.3%,62.7%,67.8%
2-Hit DMG,35.6%,38.5%,41.4%,45.5%,48.4%,51.7%,56.3%,60.9%,65.4%,70.4%,76.1%
3-Hit DMG,45.5%,49.2%,52.9%,58.2%,61.9%,66.1%,71.9%,77.8%,83.6%,89.9%,97.2%
4-Hit DMG,45.5%,49.2%,52.9%,58.2%,61.9%,66.1%,71.9%,77.8%,83.6%,89.9%,97.2%
5-Hit DMG,48.2%,52.2%,56.1%,61.7%,65.6%,70.1%,76.3%,82.5%,88.6%,95.4%,103.1%
6-Hit DMG,57.6%,62.3%,67.0%,73.7%,78.4%,83.7%,91.1%,98.5%,105.9%,113.9%,123.1%
Aimed Shot,43.9%,47.4%,51.0%,56.1%,59.7%,63.7%,69.4%,75.0%,80.6%,86.7%,92.8%
Aimed Shot Charge Level 1,124%,133%,143%,155%,164%,174%,186%,198%,211%,223%,236%
Frostflake Arrow DMG,128%,138%,147%,160%,170%,179%,192%,205%,218%,230%,243%
Frostflake Arrow Bloom DMG,218%,234%,250%,272%,288%,305%,326%,348%,370%,392%,413%
Plunge DMG,56.8%,61.5%,66.1%,72.7%,77.3%,82.6%,89.9%,97.1%,104.4%,112.3%,120.3%
Low/High Plunge DMG,114%/142%,123%/153%,132%/165%,145%/182%,155%/193%,165%/206%,180%/224%,194%/243%,209%/261%,225%/281%,240%/300%
